Gene,MinimumKaKs,MaximumKaKs,MeanKaKs,MedianKaKs,Function,COG,FunctionalClass
atpI,0,0.588542617,0.040310212,0,F0F1 ATP synthase subunit I,NF,NA
arsC,-531.7143171,0.588254382,-28.47039886,0.101158922,arsenate reductase,COG1393,P
plsX,0.038149702,0.588238444,0.095573325,0.072254456,glycerol-3-phosphate acyltransferase PlsX,COG0416,I
yjdB,-2489.264908,0.588185335,-24.3446123,0.030248688,cell division protein,COG2194,M
xseB,0,0.586440147,0.033955208,0,exodeoxyribonuclease 7 small subunit,NF,NA
menA,0,0.584978019,0.039298445,0,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",COG5405,O
aroM,0,0.58343576,0.091015977,0.091489145,putative chorismate biosynthesis protein,NF,NA
baeS,0,0.582898979,0.040466246,0.036366772,two-component sensor kinase,COG4191,T
pdxB,0,0.581592538,0.04870271,0.031631545,erythronate-4-phosphate dehydrogenase,COG1932,HE
fryA,0,0.581063654,0.087930668,0.066980724,multiphosphoryl transfer protein 1 [includes phosphoenolpyruvate-protein phosphotransferase;phosphocarrier protein Hp; fructose-like phosphotransferase enzyme IIA component],COG3412,T
group_3328,0,0.580857156,0.130383082,0.093550624,ABC transporter permease,COG0619,H
rarD,0,0.580667957,0.136809216,0.077935429,RarD protein,COG2962,S
tauB,-257.3524334,0.580494857,-2.214717726,0.114665962,taurine ABC transporter ATP-binding protein,COG3842,E
sufD,0,0.579828488,0.127810574,0.099995545,component of SufB-SufC-SufD cysteine desulfurase activator complex,NF,NA
zntA,0,0.579714023,0.053839497,0.046074126,zinc/cadmium/mercury/lead-transporting ATPase,COG4633,R
bglJ,0,0.579196768,0.100162138,0.058801631,BglJ family transcriptional regulator,COG4566,TK
slyX,0,0.57858039,0.20685537,0,protein SlyX,NF,NA
yneN,0,0.57792773,0.208913069,0.164810262,two-component system connector protein,NF,NA
fucA_2,0,0.577882126,0.13846721,0.12776596,aldolase,COG0235,G
zraR,0,0.576931822,0.112534325,0.053937432,two-component system response regulator,COG3829,KT
pspD,0,0.576729167,0.025306793,0,peripheral inner membrane phage-shock protein,NF,NA
holB,0,0.576658143,0.204225594,0.163332293,DNA polymerase III subunit delta',NF,NA
yeaI,0,0.576300444,0.085338408,0.033448327,putative signal transduction protein,COG3706,TK
group_9609,-328.4643336,0.57591053,-21.33394842,0,hypothetical protein,NF,NA
hdfR,0,0.575731082,0.104044643,0.052277534,LysR-family transcriptional regulator (H-NS-dependent flhD regulator),NF,NA
menF,0,0.575587986,0.153116247,0.086148593,menaquinone-specific isochorismate synthase,COG0147,EH
bioH,0.04263703,0.574964431,0.228070865,0.183192379,carboxylesterase (biotin synthesis protein BioH),NF,NA
holD,0,0.574731928,0.126334482,0.109702112,DNA polymerase III subunit psi,COG3050,L
div,0,0.574595766,0.17431987,0.142907607,cell division protein,NF,NA
ccmF_2,-499.2654716,0.573628952,-13.56416624,0.145038253,heme lyase subunit NrfE,COG3088,CO
atpG,0,0.573568173,0.136668447,0.133424431,membrane-bound ATP synthase F1 sector gamma-subunit,COG0355,C
fliE,0,0.573506071,0.19234158,0.126572317,flagellar hook-basal body complex protein FliE,NF,NA
ravA,0,0.572964083,0.077023463,0.036642119,regulatory ATPase RavA,COG1239,H
nlpI,0,0.572881776,0.092400286,0,lipoprotein NlpI precursor,COG4785,M
oxyR,0,0.572415931,0.012713377,0,DNA-binding transcriptional regulator OxyR,NF,NA
ampG,0,0.572214584,0.053706622,0.021737003,"peptidoglycan monomer (N-acetylglucosamine-1,6-anhydro-N-acetylmuramic acid-tetrapeptide) uptake protein (major facilitator superfamily protein)",NF,NA
ydcI,0,0.57171275,0.099398786,0.05637096,transcriptional regulator,NF,NA
allS_4,0,0.571550258,0.060957904,0,LysR family transcriptional regulator,NF,NA
group_3402,0.05284714,0.570990428,0.252559184,0.236124137,GIY-YIG nuclease superfamily protein,COG2827,L
fepB,0,0.569147326,0.07390071,0.027886934,ferrienterobactin-binding periplasmic protein,COG4592,P
ampE,0,0.569134895,0.041961565,0.030739562,AmpE protein,COG3725,V
bcsC,-1729.015495,0.568852485,-77.35590935,0.062136685,cellulose synthase subunit BcsC,COG5010,UW
hcaR_1,0,0.568481766,0.197804513,0.107920294,Hca operon transcriptional activator,NF,NA
kefC,0,0.568336517,0.049356069,0.034048145,glutathione-regulated potassium-efflux system protein KefC,COG4651,P
group_23543,0,0.568075531,0.029353388,0,putative transcriptional regulator,NF,NA
yafL,-241.4098243,0.567931804,-2.180422124,0.039287156,NlpC/P60 family protein,NF,NA
pflE,0,0.567833491,0.073707786,0.072711621,putative pyruvate formate-lyase 3-activating enzyme,NF,NA
ssuC,0,0.567823966,0.025688664,0.022078608,putative aliphatic sulfonates ABC transporter permease,COG4986,P
xerC_1,0,0.567588052,0.020258067,0,tyrosine recombinase,COG4974,L
priA,0.020380574,0.567445317,0.062454767,0.042467175,primosome assembly protein PriA,COG5405,O
torS,0.063894795,0.567173852,0.217314095,0.16953321,hybrid sensory histidine kinase TorS,COG4999,T
tmcA,0.06990354,0.566971684,0.219438248,0.199677153,putative ATP-dependent acetyltransferase,NF,NA
fhlA,0,0.566591097,0.040595144,0.02932372,formate hydrogenlyase transcriptional activator,COG3829,KT
hofQ,0,0.566521102,0.147585346,0.114857582,outer membrane porin HofQ,COG4796,U
yecR,0,0.56650118,0.159854267,0.165843057,protein,NF,NA
tcyP,0,0.566161309,0.097842098,0.046421858,putative sodium:dicarboxylate symporter,NF,NA
leuO_2,0,0.565784139,0.171969247,0.16462139,LysR family transcriptional regulator,NF,NA
hscC,0,0.565684393,0.094555733,0.063330997,chaperone protein,COG4820,E
ade,-410.3116434,0.5652343,-16.48276967,0.076049567,adenine deaminase,COG3653,Q
hflX,0,0.565065154,0.018992764,0.011345655,GTP-binding protein,COG3596,R
mutL,0,0.56491147,0.108951978,0.077063128,DNA mismatch repair protein,COG0323,L
recO,0,0.564612006,0.034951357,0.03407297,DNA repair protein,NF,NA
ydhC,0,0.564156693,0.055111648,0.025308817,major facilitator superfamily protein,COG2814,G
miaA,0,0.564079577,0.092631738,0.090857113,tRNA delta-2-isopentenylpyrophosphate (IPP) transferase,NF,NA
gmr_1,0,0.564041692,0.213653248,0.190510147,sensor protein,COG3447,T
pth,0,0.563998251,0.036329045,0,Peptidyl-tRNA hydrolase,COG0193,J
argH,0,0.563373966,0.143611714,0.076006019,argininosuccinate lyase,COG0165,E
tdk,0,0.563360779,0.063975605,0.045085402,thymidine kinase,NF,NA
yhcM,0,0.563112828,0.174721738,0.113186042,putative ATP/GTP-binding protein,NF,NA
cof_1,-405.5873477,0.562747627,-19.49336156,0,putative hydrolase,COG3769,G
trpC,0,0.562379401,0.156357742,0.158295854,tryptophan biosynthesis protein [includes: indole-3-glycero phosphate synthase; N-(5'-phospho ribosyl)anthranilate isomerase],COG0135,E
group_3949,0.062157412,0.561833753,0.150912482,0.119374705,putative adenylate cyclase,COG3025,P
tusD,0,0.561167425,0.1284489,0.107901387,tRNA 2-thiouridine synthesizin protein D (sulfurtransferase),COG1553,P
otsA,0,0.561146434,0.018578114,0,trehalose-6-phosphate synthase,COG0380,G
fliM,0,0.560642848,0.010394725,0,flagellar motor switch protein FliM,COG1868,N
nnr,0,0.560371771,0.132136207,0.131262719,putative carbohydrate kinase,COG0062,F
murD,0.018951692,0.56030645,0.082801265,0.032057893,UDP-N-acetylmuramoylalanine--D-glutamate ligase,COG0285,H
yecS_2,0,0.560210457,0.056106167,0.038695819,ABC transporter permease,COG4597,E
ada,0,0.560171043,0.118618381,0.105139087,regulatory protein of adaptative response,COG0350,L
nsrR,0,0.560110924,0.300093438,0.280391596,transcriptional repressor NsrR,NF,NA
menC,0,0.560083202,0.137573093,0.066848408,O-succinylbenzoate synthase,COG4948,MR
ybbL,0,0.559695251,0.073920026,0.060192691,ABC transporter ATP-binding protein YbbL,COG3842,E
truB,0,0.559576958,0.014963407,0,tRNA pseudouridine synthase B,COG0130,J
folM,0,0.559415706,0.056090432,0,putative short chain dehydrogenase,COG3347,G
pspF,0,0.55922024,0.011342397,0,phage shock protein operon transcriptional activator,COG3829,KT
ycbC,0,0.559130056,0.119337999,0.060502574,inner membrane protein,NF,NA
helD,0,0.559025035,0.095067391,0.071646178,DNA helicase IV,COG3972,L
yjdK,-119.5133433,0.558560274,-1.152708525,0,protein,NF,NA
group_23268,0,0.558115874,0.025218094,0,putative glutathione S-transferase,NF,NA
iscR,0,0.557983852,0.022930843,0,FeS cluster assembly transcription factor IscR,NF,NA
group_4515,0,0.557630416,0.112209336,0.059403671,Uncharacterized protein conserved in bacteria,COG3784,S
yjdA,0,0.557565587,0.122553601,0.071896496,putative vimentin,COG3596,R
kefG,0,0.557376431,0.053768493,0,glutathione-regulated potassium-efflux system ancillary protein,COG2249,R
cusA,0,0.556937964,0.032110608,0.026871429,cation efflux system protein,NF,NA
dusA,0,0.556912094,0.061330304,0,tRNA-dihydrouridine synthase A,COG0042,J
yibH,0,0.556639472,0.016608604,0,HlyD-family secretion protein,NF,NA
yfiN,0,0.556628911,0.055604209,0.030728402,diguanylate cyclase,COG3300,T
tehA,0,0.556544196,0.108400179,0.066033325,potassium-tellurite ethidium and proflavin transporter,NF,NA
ndh,0,0.55643246,0.041290459,0.012894581,NADH dehydrogenase,COG2210,C
ydgJ,-329.967,0.556159361,-12.66421921,0.014193792,oxidoreductase,COG3494,S
mreC,0,0.556142297,0.144381126,0.080981156,rod shape-determining protein,NF,NA
mfd,0,0.556104306,0.050833079,0.034812026,transcription-repair coupling factor,COG4098,L
yrfF,0,0.556072931,0.098842092,0.043119009,membrane protein IgaA,NF,NA
argC,0,0.556067081,0.097884038,0.076654751,N-acetyl-gamma-glutamyl-phosphate reductase,COG0002,E
eda,0,0.556013008,0.016490228,0,KHG/KDPG aldolase [includes: 4-hydroxy-2-oxoglutarate aldolase; 2 dehydro-3-deoxy-phosphogluconate aldolase],NF,NA
bisZ,0,0.555854139,0.08728586,0.052786642,trimethylamine-N-oxide reductase 2,COG3383,R
rhlE,0,0.555806554,0.110407085,0.016390475,ATP-dependent RNA helicase RhlE,COG2391,R
yfcE,-3639.271777,0.555746188,-131.0766575,0,putative phosphodiesterase,COG2908,M
astB,-4089.543221,0.555642122,-164.4663632,0.097618978,N-succinylarginine dihydrolase,COG3724,E
tusB,0,0.555611355,0.154818455,0,tRNA 2-thiouridine synthesizing protein B,COG2168,O
group_9488,0,0.555485672,0.272622958,0.27207304,putative lipoprotein,NF,NA
por,0,0.555458956,0.157123145,0.126065812,putative sugar dehydrogenase,COG0246,G
fsr,0,0.55539646,0.040619627,0.013432544,fosmidomycin resistance protein,COG2814,G
yccF,0,0.555331827,0.107503134,0,putative inner membrane protein YccF,COG3304,S
rutD,0,0.555206302,0.181972696,0.166906722,alternative pyrimidine degradation pathway protein,NF,NA
menE,0,0.555125898,0.139196374,0.121615985,2-succinylbenzoate--CoA ligase,COG4340,S
ypfG,0,0.555059152,0.068664386,0.041293066,protein,NF,NA
yeiU,0,0.5549487,0.142409115,0.056770609,undecaprenyl pyrophosphate phosphatase,COG3907,R
visC,0,0.554526899,0.079121309,0.068267706,putative monooxygenase,NF,NA
rapA,0,0.554512476,0.069990128,0.017434417,RNA polymerase-associated protein,COG0242,J
gatA,-570.5580195,0.554482813,-6.270947806,0.111384429,galactitol-specific PTS system EIIA component,NF,NA
ycfC,0,0.554365346,0.049076576,0,putative lysogenization regulator,COG2915,XT
pyrE,0.047431767,0.554290512,0.181514327,0.12206961,orotate phosphoribosyltransferase,NF,NA
bioF_1,0,0.554087285,0.071566071,0.035135127,putative aminotransferase,COG0156,H
dnaT,0,0.553982696,0.088053946,0.084025004,primosomal protein I,COG5529,Q
ydcR,0,0.553982134,0.120659153,0.102294289,transcriptional regulator protein YdcR,COG3977,E
iolS,0.033359501,0.553930194,0.131631181,0.128640226,putative aldo/keto reductase,COG4989,R
hcrB,0,0.553862978,0.047740266,0,"putative xanthine dehydrogenase, FAD-binding subunit",COG4630,F
hcaT,0,0.55374933,0.11515276,0,putative 3-phenylpropionate permease,NF,NA
hyfR,0,0.553716448,0.145636947,0.129674222,2-component regulator,COG3829,KT
yibP,0,0.553657375,0.01582579,0,membrane protein YibP,COG4942,D
ygjO,0,0.553609598,0.058974369,0.044084812,Putative enzyme,COG2813,J
rmuC,0,0.553496291,0.029865738,0,DNA recombination protein,NF,NA
mdtG,0,0.553453987,0.023288231,0,drug efflux system protein MdtG,COG2814,G
ruvA,0,0.553336916,0.108441644,0.089491965,holliday junction ATP-dependent DNA helicase,NF,NA
asmA,0,0.553299373,0.079499251,0.062134439,putative outer membrane assembly protein,COG2982,M
yjcC_2,0,0.552983646,0.225827873,0.174376145,putative signal transduction protein,COG4943,T
ilvA,0,0.552867832,0.018050888,0.00450738,threonine dehydratase,COG1171,E
srlM,0,0.552522216,0.08944597,0,glucitol operon activator protein,COG4578,K
selB,0,0.552363653,0.104804015,0.067102928,selenocysteinyl-tRNA-specific translation factor,COG0050,J
nadC,0,0.552156448,0.104863327,0.041874109,quinolinate phosphoribosyltransferase,COG0029,H
gst,0,0.55204075,0.071541859,0.027677769,glutathione S-transferase,NF,NA
yhcB,0,0.551978524,0.021827502,0,cytochrome d ubiquinol oxidase subunit III,NF,NA
yfeC,0,0.551702961,0.036514275,0,putative DNA-binding transcriptional regulator,NF,NA
tyrS,0,0.551558961,0.01774325,0,tyrosyl-tRNA synthetase,COG0162,J
gldA_1,0.033276344,0.551510019,0.140191699,0.094467725,iron-containing alcohol dehydrogenase,COG0371,C
arcB,0,0.551478257,0.026355678,0,aerobic respiration control protein (bifunctional two-component sensor kinase/response regulator),COG4999,T
group_23688,0,0.551457583,0.062788871,0.035787333,putative helicase,COG3886,L
yfgD,-553.9888372,0.551392945,-32.76336496,0,putative glutaredoxin,COG1393,P
aceK,0,0.551063296,0.034021495,0.018936786,isocitrate dehydrogenase kinase/phosphatase,NF,NA
emrD,-1561.602791,0.550975721,-90.48595708,0.024741008,multidrug resistance protein D,COG2814,G
dedD,0.047736152,0.550872624,0.168394994,0.140297709,putative peptidoglycan-binding protein,COG3147,D
nei,0,0.550867539,0.145783946,0.135182779,endonuclease VIII (DNA glycosylase/AP lyase Nei),NF,NA
ymgG,0,0.550757388,0.014121984,0,"conserved protein, UPF0757 family",NF,NA
ybgP,0,0.550528989,0.164843439,0.100409064,"chaperone, PapD family",NF,NA
ygbN,0,0.549997815,0.14259169,0.085248859,inner membrane permease YgbN,COG2610,GR
proA,-320.4738509,0.549989328,-3.306982586,0.044406234,gamma-glutamyl phosphate reductase,COG0014,E
yhbU_3,0,0.549966012,0.100137814,0.082353414,putative peptidase,COG0826,O
mhpC,0,0.549919619,0.115876087,0,"2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase",COG3631,R
codA,0,0.549649382,0.072443193,0.038591709,cytosine deaminase,COG0402,FR
cynX,0,0.549544346,0.083381192,0.065573804,cyanate transporter,NF,NA
ybjT,-1043.313699,0.549520251,-13.28594667,0.059536737,NAD(P)-binding Rossmann-fold domain,COG2910,R
ykgD,0,0.549222177,0.094975353,0.054560272,transcriptional regulator YkgD,COG3449,L
glnK,0,0.549179882,0.00885774,0,glutamine synthetase,NF,NA
cadC,0,0.549178394,0.098074915,0.095518556,transcriptional activator,NF,NA
lplT,0,0.549021137,0.17836199,0.101655509,major facilitator superfamily protein,NF,NA
rnfG,0,0.548969638,0.170500384,0.079261814,electron transport complex protein,COG4659,C
yejB,0,0.548777345,0.046714362,0.02917525,ABC transporter permease,NF,NA
group_5536,0,0.548745211,0.08059125,0.048185639,ATP-binding protein YghT,NF,NA
yfbM,0,0.548593546,0.066428944,0.047057716,protein,NF,NA
matC_2,0,0.548158276,0.139581127,0.10565655,putative fimbrial protein,NF,NA
csiD,0,0.548037014,0.065628794,0.052555134,Protein CsiD,NF,NA
group_23794,0,0.547751491,0.04645352,0,esterase,COG3150,R
pheT,-725.3883199,0.547693814,-18.55667957,0.026078061,phenylalanyl-tRNA synthetase subunit beta,COG0073,J
dapA,-266.1920351,0.547673255,-41.21217583,0,dihydrodipicolinate synthase,NF,NA
glpR_4,0,0.547546135,0.016922879,0,"transcriptional regulator, DeoR/GntR family",COG3444,G
ansP,0,0.547212151,0.080823524,0.04805046,L-asparagine permease,COG0833,E
appB,0,0.547135387,0.023855165,0,cytochrome bd-II oxidase subunit 2,NF,NA
dosC_1,0,0.547128967,0.0410845,0.04796154,putative signal transduction protein,COG3706,TK
cysA,0,0.546724349,0.03841281,0.016328328,"sulfate ABC transporter, ATP-binding protein",COG3842,E
zapB,0,0.546713154,0.328027892,0.546713154,cell division factor ZapB,COG3074,D
tauD,0,0.546709943,0.066694183,0.073300904,alpha-ketoglutarate-dependent taurine dioxygenase,NF,NA
arsB,0,0.54648615,0.029412296,0,arsenical pump membrane protein,NF,NA
bcsE,0,0.5463384,0.022738723,0,cellulose biosynthesis protease,NF,NA
lpxK,0,0.546239656,0.144788935,0.092192692,tetraacyldisaccharide 4'-kinase (lipid A 4'-kinase),NF,NA
tpx,-575.3943576,0.546228718,-29.91656373,0,thiol peroxidase,NF,NA
mltF,0,0.546036208,0.032663737,0,putative lytic transglycosylase,NF,NA
yhdL,0,0.545702906,0.153203465,0.113846645,regulator,NF,NA
zitB,-282.2308092,0.545637826,-5.493182238,0.020924952,zinc transporter,COG0053,P
glxR,0,0.545055338,0.012744351,0,2-hydroxy-3-oxopropionate reductase,COG3395,S
xdhB,-598.8873094,0.545000346,-26.17345661,0.086173007,xanthine dehydrogenase FAD-binding subunit,COG4630,F
pdxA,0,0.544952928,0.213020521,0.17897627,4-hydroxythreonine-4-phosphate dehydrogenase,NF,NA
rarA,0,0.544913183,0.06089992,0.042221499,putative ATPase,COG2255,L
dcuD,0,0.544833529,0.125093205,0.103868223,C4-dicarboxylate transporter,COG3069,C
hisP,0,0.544729382,0.046725597,0,histidine/lysine/arginine/ornithine transporter subunit,COG4598,E
fklB,0,0.544510163,0.014723139,0,FkbP-type 22 kDa peptidyl-prolyl cis-trans isomerase,COG0390,P
yigA,0,0.544321837,0.04377079,0.022835963,"conserved protein, DUF484 family",COG3159,S
yihV,0,0.544171323,0.079249643,0.058519608,kinase,COG3892,G
uidC,-762.7028748,0.544054912,-7.137714049,0,outer membrane porin protein,NF,NA
yohK,0,0.543739629,0.039068787,0,membrane protein LrgB-like family,COG0615,M
anmK,0,0.543713305,0.052272448,0.038828824,anhydro-N-acetylmuramic acid kinase,NF,NA
rffG,0,0.543620019,0.186130167,0.143469917,"dTDP-glucose 4,6-dehydratase",NF,NA
zraS,0,0.543420034,0.079050355,0.039022694,sensor protein ZraS,COG3852,T
yhbE,0,0.543337149,0.041046846,0,transporter,COG2962,S
group_23780,0,0.5433117,0.05201853,0.027273973,patatin-like phospholipase,NF,NA
mtn,-210.9768424,0.543226074,-16.40025313,0,MTA/SAH nucleosidase,NF,NA
yddG,0,0.54320332,0.054113152,0.019910446,inner membrane protein,NF,NA
fadH,-1304.826498,0.543176821,-23.15107051,0.082828452,"2,4-dienoyl-CoA reductase",COG1232,H
kdpB,-2311.458316,0.543101064,-59.18878641,0.023221859,potassium-transporting ATPase B chain,COG4633,R
arcC2,-1191.409026,0.542943445,-44.62121302,0.050206439,carbamate kinase-like protein,NF,NA
group_22644,0,0.542737541,0.012391886,0,exported protein YcbK,NF,NA
folD,0,0.542612376,0.080644684,0.055205788,"5,10-methylene-tetrahydrofolate dehydrogenase",NF,NA
fdrA_1,0,0.542357509,0.128301688,0.127515035,FdrA protein,COG0074,C
group_22706,0,0.542241368,0.027696097,0,TPR repeat-containing protein,NF,NA
ycgM,0,0.542116146,0.107443016,0.07569651,putative hydrolase,COG0179,Q
yihI,0,0.54211468,0.09327448,0,GTPase activator,NF,NA
rlpB,0,0.54191483,0.034040377,0,rare lipoprotein B,NF,NA
chaC,0,0.541650137,0.184313517,0.133169937,cation transport protein chaC,COG3703,P
yfbR,0,0.54159137,0.159632617,0.051857078,5'-nucleotidase,NF,NA
ftsQ,0,0.541496108,0.034588321,0,cell division protein FtsQ,NF,NA
xylB,0,0.541435473,0.160944782,0.112108171,xylulose kinase,COG0036,G
phnL,0,0.541359397,0.08204389,0.054603945,phosphonates transport ATP-binding protein PhnL,COG4778,P
truA,0,0.541249736,0.081176304,0.060576502,tRNA pseudouridine synthase A,NF,NA
ybhI,0,0.541155048,0.018150797,0,putative Sodium:sulfate symporter,NF,NA
hslR,-1163.065469,0.541113713,-269.0899732,0,heat shock protein,NF,NA
glpF,0,0.54098504,0.022020402,0,glycerol uptake facilitator protein,NF,NA
osmY_1,0,0.540856661,0.067535828,0,putative phospholipid-binding protein,COG2823,S
glgX,-637.6425187,0.540595998,-34.83906961,0.084094983,glycogen debranching protein,NF,NA
fliS,0,0.540587798,0.057786857,0,flagellar protein FliS,NF,NA
pflF,0,0.540360312,0.018590467,0.010454987,putative formate acetyltransferase 3 (pyruvate formate lyase 3),NF,NA
group_2301,0.200592269,0.540358553,0.32475389,0.256236358,CRISPR-associated protein,NF,NA
ssuA,0.101107958,0.540243745,0.310864621,0.302866564,alkanesulfonate transporter substrate-binding subunit,COG4521,P
fucP,0,0.540219952,0.027009819,0,L-fucose permease,COG2814,G
potI,0,0.540028823,0.033326288,0.021837051,putrescine ABC transporter membrane protein,COG4149,P
yjiL,0,0.539788845,0.072156913,0.05242184,"ATPase, activator of (R)-hydroxyglutaryl-CoA dehydratase",COG3581,R
nadB,-451.7081736,0.539778756,-4.261493819,0.073449932,L-aspartate oxidase,COG0029,H
yphE,0,0.539750252,0.051401876,0.040213559,putative ABC transporter ATP-binding protein,COG4555,CP
secM,-811.0070398,0.539483282,-10.14512867,0.115789201,secretion monitor family proten,NF,NA
yqeF,0,0.539315,0.032663747,0.024445545,putative acyltransferase,COG5600,NA
yedY,0,0.539111064,0.108025774,0.08772999,putative oxidoreductase,NF,NA
yjbR_2,0,0.539050023,0.115243039,0.101981206,putative cytoplasmic protein YjbR,COG2315,K
aspC_1,0,0.538922891,0.017142736,0,aspartate aminotransferase,NF,NA
queA,0,0.538861156,0.032681797,0.0136144,S-adenosylmethionine--tRNA ribosyltransferase-isomerase,COG0809,J
rtn,0,0.538805753,0.074284157,0.040057857,putative signal transduction protein,COG4943,T
ybhF_1,0,0.538616536,0.052534083,0.03672404,"putative type I secretion system, ATP-binding protein",COG4555,CP
tktB,-2196.621663,0.53857843,-58.60616791,0.016540949,transketolase,COG0021,G
group_23439,-2235.927092,0.538266663,-102.7594334,0.021496078,putative fatty acid binding protein,NF,NA
phnO,0,0.537978272,0.065474566,0.026701755,putative acetyltransferase,NF,NA
dsdX,0,0.537875763,0.182643459,0.169886405,permease DsdX,COG2610,GR
yccC,0,0.537861286,0.070672,0,cryptic autophosphorylating protein tyrosine kinase Etk,COG3944,M
hpaG,-757.9004779,0.537652147,-100.2049059,0.042923474,4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase,COG0179,Q
ymgE,-326.5113897,0.537624472,-26.55911728,0.061159588,transglycosylase associated protein,NF,NA
psuK_1,0,0.537485306,0.04498043,0.025086982,putative pyrimidine kinase,COG2313,F
group_4427,0,0.537480919,0.130936736,0,lipoprotein,COG5544,S
malP,0,0.537456851,0.034616663,0.016625548,maltodextrin phosphorylase,NF,NA
glsA2,0,0.537451669,0.010015483,0,glutaminase 2,NF,NA
ppiD,0,0.537281087,0.048011701,0,peptidyl-prolyl cis-trans isomerase D,NF,NA
dusB,-1264.944899,0.537259029,-38.51940173,0,tRNA-dihydrouridine synthase B,COG2962,S
yccT,0,0.537256439,0.011286153,0,hypothetical protein,NF,NA
tdcA,0,0.537224913,0.016653342,0,tdc operon transcriptional activator,NF,NA
ydhS,0,0.537109767,0.127729422,0.120312202,conserved protein with FAD/NAD(P)-binding domain,COG4529,R
rssA,0,0.537083184,0.060224535,0,patatin,NF,NA
motB,0,0.537053499,0.036157424,0,chemotaxis protein MotB (motility protein B),COG3455,U
ynhG,-278.1429968,0.537031251,-10.36909391,0.027926912,putative peptidoglycan-binding protein,NF,NA
manZ_2,0,0.53697772,0.043245222,0.019350051,PTS system N-acetylgalactosamine-specific transporter subunit IID,COG3444,G
group_23287,0,0.53684852,0.058786484,0.04072891,signal transduction protein,COG4991,S
znuA,0,0.536807893,0.08419269,0.083847157,high-affinity zinc transporter periplasmic protein,COG4531,P
group_6882,0,0.536485359,0.061493228,0.016469559,hypothetical protein,NF,NA
mtlD,0,0.536228439,0.070832644,0.04618982,mannitol-1-phosphate 5-dehydrogenase,COG0246,G
group_7120,-724.8715132,0.536208907,-29.23702103,0.115679179,putative lipoprotein,COG3218,R
fnr,0,0.536182643,0.005471251,0,fumarate and nitrate reduction regulatory protein,COG2905,T
marC_1,0,0.53599805,0.094695919,0.063703981,MarC family integral membrane protein,NF,NA
damX,0,0.535864158,0.092366634,0.058385708,DamX protein,COG3266,D
mzrA,0.038418129,0.535807192,0.180429356,0.100679321,EnvZ/OmpR regulon moderator,NF,NA
ydcW,-406.5991467,0.535718066,-3.946470584,0.074448417,gamma-aminobutyraldehyde dehydrogenase,COG4230,E
yebY,0.028865277,0.535352091,0.139628418,0.157518565,protein,NF,NA
group_7030,0,0.534989651,0.161808807,0,hypothetical protein,NF,NA
aroG,0,0.534793636,0.038397219,0.034773724,phospho-2-dehydro-3-deoxyheptonate aldolase,NF,NA
greA,0,0.534622561,0.008486072,0,transcription elongation factor GreA,COG0782,K
waaQ,0,0.53462136,0.125985037,0.12291651,lipopolysaccharide core biosynthesis protein,COG2870,M
fumC,0,0.534525435,0.037512915,0.019805784,fumarate hydratase class II,COG0114,C
cnu,0,0.534390845,0.043328987,0,H-NS-and StpA-binding protein,NF,NA
group_7119,0,0.534166196,0.123476315,0.106207104,protease La,COG1750,R
prmA,0,0.534134585,0.035550889,0,50S ribosomal protein L11 methyltransferase,COG2264,J
malX,0,0.534006084,0.079200769,0.035884632,PTS system maltose and glucose-specific transporter subunit IICB,NF,NA
group_23286,0,0.533832648,0.017695683,0,tetratricopeptide repeat protein,COG3071,S
pphA,0,0.533783208,0.22900066,0.169625173,serine/threonine protein phosphatase 1,COG4639,R
nlpB,0,0.533663119,0.083494706,0,lipoprotein,NF,NA
pyrH,0,0.533227537,0.012020658,0,uridylate kinase,COG0528,F
pgpB,0,0.533128276,0.097518439,0,phosphatidylglycerophosphatase B,NF,NA
mdoB,0,0.533054346,0.07746585,0.060920867,phosphoglycerol transferase I (phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase),COG1368,M
yvoA,0,0.53303597,0.115435844,0.104446749,GntR family transcriptional regulator,COG1802,K
group_23899,0,0.53287807,0.027269995,0,oxidative stress defense protein,COG3471,S
ccmG,0,0.53270102,0.016239736,0,thiol:disulfide interchange protein (cytochrome C-type biogenesis protein),COG4232,O
cutS,0,0.532664085,0.226134205,0.283815751,"putative xanthine dehydrogenase, iron-sulfur binding subunit",COG2080,C
argT,0,0.532333849,0.062115801,0.027363732,lysine-arginine-ornithine-binding periplasmic protein,NF,NA
murE,0,0.532327376,0.080348788,0.069210845,"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase",COG0285,H
acrD,0.013590686,0.532171633,0.056938165,0.04326459,putative multidrug efflux pump,NF,NA
macA_3,0,0.532140397,0.021195498,0.014619804,HlyD-family secretion protein,NF,NA
alkB,0,0.531839872,0.162689344,0.131555438,alpha-ketoglutarate-dependent dioxygenase (alkylated DNA repair protein),COG5580,O
group_3247,0,0.531530502,0.211704097,0.175445373,putative lipoprotein,NF,NA
alaS,-778.7625697,0.531490282,-7.655956915,0.039671518,alanyl-tRNA synthetase,COG0013,J
nagB_2,0,0.531367319,0.043748637,0,6-phosphogluconolactonase,NF,NA
